DEP,PROV,n_puntos,poblacion_total,tiempo_medio_simple_min,tiempo_mediana_min,tiempo_medio_ponderado_min
CUSCO,ACOMAYO,140,24120.0,92.32726450939327,97.6116604638104,92.14084432606722
CUSCO,ANTA,224,45787.0,77.99884550285789,74.76585923786243,60.57557594489341
CUSCO,CALCA,222,51486.0,75.60903821104951,63.029709795451225,59.93136885774868
CUSCO,CANAS,94,23983.0,57.7682232408086,58.483889662881275,56.23861944643091
CUSCO,CANCHIS,191,43299.0,51.28244000818415,46.529916886644564,41.12937753287872
CUSCO,CHUMBIVILCAS,230,42485.0,53.41915624221459,49.624429498407366,54.46724592746381
CUSCO,CUSCO,97,224714.0,11.3466335052894,10.200358625612356,2.129599148207906
CUSCO,ESPINAR,436,36318.0,59.166997770232555,49.85133938080486,42.838059389755095
CUSCO,LA CONVENCION,580,84266.0,77.65376444176476,68.94933826608181,72.97706967725944
CUSCO,PARURO,199,24658.0,67.64197709852087,61.87929563587285,70.52446586945481
CUSCO,PAUCARTAMBO,149,31674.0,100.55753667248614,93.12468889074998,86.06965440348203
CUSCO,QUISPICANCHI,297,62116.0,120.74101622731331,104.27753680306196,88.74160880210364
CUSCO,URUBAMBA,133,39660.0,67.14768787193593,61.73036390757475,60.04704465348907
ICA,CHINCHA,178,162055.0,47.74250647846591,34.00343128065891,5.497514810171783
ICA,ICA,226,253010.0,31.044495402038166,22.311070226097677,8.06034659757913
ICA,NAZCA,96,53064.0,37.15432401918453,35.805524490102115,49.36345433215727
ICA,PALPA,80,12739.0,34.54101371668311,21.950099044900142,8.598888901585635
ICA,PISCO,112,50319.0,49.98008493562617,36.03571790691779,19.5714425108787
LORETO,ALTO AMAZONAS,355,108807.0,242.98676001548014,213.22979293933443,143.3322372391318
LORETO,LORETO,154,45356.0,313.362560545253,301.21402794688106,278.12228686196727
LORETO,MARISCAL RAMON CASTILLA,128,32170.0,512.2551681768721,545.3087452950721,502.534778929944
LORETO,MAYNAS,435,251984.0,135.24908849919606,96.37092042407026,36.34862333229544
LORETO,REQUENA,132,33449.0,344.6732492040345,361.6095999381537,350.4585064763809
LORETO,UCAYALI,112,38692.0,131.73200845069778,123.94835915416951,101.21083592721547
