DEP,PROV,DIST,n_puntos,poblacion_total,tiempo_medio_simple_min,tiempo_mediana_min,tiempo_medio_ponderado_min,ranking
CUSCO,QUISPICANCHI,CAMANTI,35,1721.0,270.7938120413141,276.9983709645136,271.5359178336933,1
CUSCO,QUISPICANCHI,MARCAPATA,56,3259.0,164.5796843703485,163.62440776655112,165.13851257715643,2
CUSCO,PAUCARTAMBO,KOSÐIPATA,32,2622.0,157.80281228529185,160.19685466555512,163.60796567528814,3
CUSCO,ESPINAR,CONDOROMA,49,798.0,140.3409229065769,141.67193422583262,139.1596876812942,4
CUSCO,ANTA,MOLLEPATA,44,900.0,131.20115654205966,130.33181594980857,131.97146082065078,5
CUSCO,QUISPICANCHI,OCONGATE,22,6645.0,123.31687028823472,122.1213792519133,123.82518453136251,6
CUSCO,CALCA,YANATILE,60,7292.0,129.77114186463098,129.2262817296014,120.71079825147582,7
CUSCO,QUISPICANCHI,CCARHUAYO,21,2327.0,120.20285830556713,122.35892019794855,114.17201392334586,8
CUSCO,LA CONVENCION,VILCABAMBA,120,7021.0,100.27682363188806,86.17180371832757,109.10063246404705,9
CUSCO,LA CONVENCION,ECHARATE,143,27412.0,104.79912539848544,89.89039966027475,108.49506551968986,10
ICA,NAZCA,MARCONA,5,17299.0,114.60342693398607,120.60564225841793,134.81346787888558,1
ICA,CHINCHA,SAN PEDRO DE HUACARPANA,16,1158.0,116.19739372337354,112.78417499206273,119.46759678290792,2
ICA,PISCO,HUANCANO,23,1081.0,117.16594997946144,113.07345202958749,116.30362916859964,3
ICA,PALPA,TIBILLO,14,199.0,95.40565068842334,96.77284300159629,95.77850415656339,4
ICA,CHINCHA,CHAVIN,28,734.0,86.38474899830462,90.66507700132675,90.94381852040567,5
ICA,CHINCHA,SAN JUAN DE YANAC,19,648.0,75.94873153944722,79.01172314749867,82.61390470391123,6
ICA,ICA,YAUCA DEL ROSARIO,17,1951.0,77.34730744892016,80.18349571746019,73.13648049419572,7
ICA,ICA,OCUCAJE,10,2382.0,82.885409638459,68.16793358106571,68.37635717209406,8
ICA,PISCO,HUMAY,21,4597.0,60.670168736113204,59.441755846197296,54.605344352556116,9
ICA,NAZCA,CHANGUILLO,15,2742.0,48.28938937369623,36.42228924743786,41.791609788636094,10
LORETO,MARISCAL RAMON CASTILLA,YAVARI,23,2298.0,643.6174441345258,658.0630612308747,655.9584623218302,1
LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,43,10946.0,635.9309908114882,628.6491863948835,651.296216397636,2
LORETO,ALTO AMAZONAS,MORONA,28,5126.0,539.6366420444826,528.390181532787,509.2613059327873,3
LORETO,MAYNAS,PUTUMAYO,52,3219.0,413.0466421429177,411.94340377756237,464.79775052900607,4
LORETO,MARISCAL RAMON CASTILLA,SAN PABLO,24,10154.0,467.89957148935156,459.12430029093787,450.6326075040429,5
LORETO,LORETO,TROMPETEROS,18,3564.0,454.594165104686,483.217068580781,432.43414351555987,6
LORETO,ALTO AMAZONAS,MANSERICHE,22,3572.0,428.1663418798398,419.85095124068886,430.8701471407252,7
LORETO,ALTO AMAZONAS,PASTAZA,62,8604.0,479.3209217281905,499.9594281341513,428.30829400600885,8
LORETO,REQUENA,CAPELO,6,3376.0,412.8620637614551,407.7385190435806,418.97286920128283,9
LORETO,REQUENA,TAPICHE,6,1550.0,405.7390051917389,398.95316673244656,417.54605020615304,10
