DEP,PROV,DIST,n_puntos,poblacion_total,tiempo_medio_simple_min,tiempo_mediana_min,tiempo_medio_ponderado_min,indice_ruralidad_pct
CUSCO,ACOMAYO,ACOMAYO,34,4578.0,96.95808536498816,98.74028194137517,98.33445637567912,47.99038881607689
CUSCO,ACOMAYO,ACOPIA,3,1950.0,75.58615970336224,75.62795189780762,75.1508789205584,100.0
CUSCO,ACOMAYO,ACOS,25,2911.0,98.2043518653178,97.09664019292768,102.59263816430884,30.195809000343523
CUSCO,ACOMAYO,MOSOC LLACTA,4,1213.0,68.20573115616787,66.16196029570597,65.53020227681465,29.67848309975268
CUSCO,ACOMAYO,POMACANCHI,39,3121.0,101.98962699703989,102.62390120465575,105.08292530816945,100.0
CUSCO,ACOMAYO,RONDOCAN,23,3664.0,63.400620400396804,63.86369719177725,61.96759749448065,51.064410480349345
CUSCO,ACOMAYO,SANGARARA,12,6683.0,103.22851720367298,102.71775650176647,103.63151545670216,28.355528954062546
CUSCO,ANTA,ANCAHUASI,12,5106.0,76.72120821697506,75.6065805236421,78.20510467350546,100.0
CUSCO,ANTA,ANTA,23,16571.0,41.69868205634708,41.64666289221139,41.28359608057981,54.275541608834715
CUSCO,ANTA,CACHIMAYO,11,2225.0,20.274157021222898,19.700888507180597,22.54622539028808,9.97752808988764
CUSCO,ANTA,CHINCHAYPUJIO,59,3879.0,69.30787911845857,68.3164827910708,65.0591795942093,65.24877545759216
CUSCO,ANTA,HUAROCONDO,16,6104.0,66.7126003174136,66.23240384376561,58.09809045640592,41.41546526867628
CUSCO,ANTA,LIMATAMBO,34,6629.0,101.9551696771886,101.80127140324322,100.1141350246322,76.1049932116458
CUSCO,ANTA,MOLLEPATA,44,900.0,131.20115654205966,130.33181594980857,131.97146082065078,100.0
CUSCO,ANTA,PUCYURA,17,511.0,29.55437752042328,29.36913175269498,29.938229666539026,100.0
CUSCO,ANTA,ZURITE,8,3862.0,58.83549146464051,58.642183448343886,60.916146093454905,46.038322112894875
CUSCO,CALCA,CALCA,43,16775.0,59.616381590160685,56.742185169231725,50.961634521028486,37.5558867362146
CUSCO,CALCA,COYA,14,3534.0,32.90882149620806,32.28268470282434,31.05402911738432,53.98981324278438
CUSCO,CALCA,LAMAY,38,5173.0,49.83800621030798,46.20197093107869,46.20573673173806,62.53624589213222
CUSCO,CALCA,LARES,27,5622.0,105.97305112265796,110.46865306608116,105.75709228676845,56.20775524724297
CUSCO,CALCA,PISAC,17,7112.0,35.781665926929456,34.359882719054276,36.06346723687947,64.0185601799775
CUSCO,CALCA,SAN SALVADOR,14,3141.0,30.894231105902872,33.0661338193066,28.01138676164853,47.659980897803244
CUSCO,CALCA,TARAY,9,2837.0,19.865098789711215,20.957467301379374,22.108270853958334,72.08318646457525
CUSCO,CALCA,YANATILE,60,7292.0,129.77114186463098,129.2262817296014,120.71079825147582,75.16456390565003
CUSCO,CANAS,CHECCA,12,3396.0,60.54118015885826,61.53777612442997,61.188749001158214,93.05064782096584
CUSCO,CANAS,KUNTURKANKI,9,3316.0,52.58372586035843,51.67500333590423,59.041662643544974,32.87092882991556
CUSCO,CANAS,LANGUI,9,2409.0,37.3925825195523,37.97506706704618,37.88504857047564,76.3802407638024
CUSCO,CANAS,LAYO,19,3973.0,62.81635198378322,60.314728695936076,61.56727004828513,75.20765164862824
CUSCO,CANAS,PAMPAMARCA,5,1907.0,57.307924615704984,58.7517260178465,57.77860655761554,37.49344520188778
CUSCO,CANAS,QUEHUE,17,1945.0,61.771776673254514,58.3446427522867,62.8825127940692,85.34704370179949
CUSCO,CANAS,TUPAC AMARU,9,1050.0,71.3936586234886,71.90254943031427,74.73827092405153,100.0
CUSCO,CANAS,YANAOCA,14,5987.0,51.51561467738443,50.235771271657526,49.83369714074162,60.39752797728411
CUSCO,CANCHIS,CHECACUPE,27,3925.0,65.9177685949829,64.81316359839424,74.37094018743097,18.980891719745223
CUSCO,CANCHIS,COMBAPATA,9,3274.0,51.37116860985875,49.90706242089811,57.70657713662886,35.67501527183873
CUSCO,CANCHIS,MARANGANI,10,9291.0,35.63448248103705,33.11452314602208,31.9520723081892,73.04918738564201
CUSCO,CANCHIS,PITUMARCA,57,4908.0,91.67009892370537,86.75530970752298,80.62517416207723,40.89242053789731
CUSCO,CANCHIS,SAN PABLO,11,6364.0,25.081700272510236,24.843586265625905,23.97049656936979,64.81772470144563
CUSCO,CANCHIS,SAN PEDRO,8,3391.0,32.66555381329128,32.68614499337657,33.327650495640555,46.97729283397228
CUSCO,CANCHIS,SICUANI,58,7155.0,16.315818577683952,13.60690637083507,14.831709444055628,100.0
CUSCO,CANCHIS,TINTA,11,4991.0,44.34042704897434,44.69262222348029,47.238108864328034,35.32358244840713
CUSCO,CHUMBIVILCAS,CAPACMARCA,18,2705.0,96.63052958873384,101.07513869138494,96.76395723857823,70.53604436229205
CUSCO,CHUMBIVILCAS,CHAMACA,15,5530.0,64.69177493965307,62.09836762727113,63.196298124153564,83.81555153707052
CUSCO,CHUMBIVILCAS,COLQUEMARCA,18,5370.0,44.836204173940615,41.21074091639705,44.768984161039505,100.0
CUSCO,CHUMBIVILCAS,LIVITACA,31,6885.0,92.11851745564726,94.09059833216918,92.18020411956012,90.48656499636891
CUSCO,CHUMBIVILCAS,LLUSCO,24,3937.0,23.239104177876346,19.98187591026279,24.158666157785095,79.4513589027178
CUSCO,CHUMBIVILCAS,QUIÐOTA,30,2666.0,35.24899435707409,34.39045142059031,35.78025263056161,69.09227306826706
CUSCO,CHUMBIVILCAS,SANTO TOMAS,66,9016.0,43.5851643857002,42.41713022910334,35.96892705832458,100.0
