2026-09-06 19:13:56,801 | INFO     | acquisition | URL RENIPRESS resuelta dinámicamente vía API CKAN: https://www.datosabiertos.gob.pe/sites/default/files/RENIPRESS_31-08-2026.csv
2026-09-06 19:13:59,421 | INFO     | acquisition | RENIPRESS descargado correctamente: C:\Users\HP\Documents\GitHub\Data-Science-Python\golden_hour\data\raw\renipress.csv
2026-09-06 19:14:00,722 | INFO     | acquisition | Centros Poblados descargado correctamente: C:\Users\HP\Documents\GitHub\Data-Science-Python\golden_hour\data\raw\centros_poblados.zip
2026-09-06 19:14:01,538 | INFO     | acquisition | Límites 'departamentos' descargados correctamente: C:\Users\HP\Documents\GitHub\Data-Science-Python\golden_hour\data\raw\limites_departamentos.zip
2026-09-06 19:14:03,342 | INFO     | acquisition | Límites 'provincias' descargados correctamente: C:\Users\HP\Documents\GitHub\Data-Science-Python\golden_hour\data\raw\limites_provincias.zip
2026-09-06 19:14:07,470 | INFO     | acquisition | Límites 'distritos' descargados correctamente: C:\Users\HP\Documents\GitHub\Data-Science-Python\golden_hour\data\raw\limites_distritos.zip
2026-09-06 19:14:07,470 | INFO     | acquisition | Adquisición completa: 3/3 fuentes correctas
2026-09-06 19:14:14,288 | INFO     | acquisition | RENIPRESS ya está en caché: C:\Users\HP\Documents\GitHub\Data-Science-Python\golden_hour\data\raw\renipress.csv (usar force=True para re-descargar)
2026-09-06 19:14:14,289 | INFO     | acquisition | Centros Poblados ya está en caché: C:\Users\HP\Documents\GitHub\Data-Science-Python\golden_hour\data\raw\centros_poblados.zip
2026-09-06 19:14:14,289 | INFO     | acquisition | Límites 'departamentos' ya en caché: C:\Users\HP\Documents\GitHub\Data-Science-Python\golden_hour\data\raw\limites_departamentos.zip
2026-09-06 19:14:14,289 | INFO     | acquisition | Límites 'provincias' ya en caché: C:\Users\HP\Documents\GitHub\Data-Science-Python\golden_hour\data\raw\limites_provincias.zip
2026-09-06 19:14:14,294 | INFO     | acquisition | Límites 'distritos' ya en caché: C:\Users\HP\Documents\GitHub\Data-Science-Python\golden_hour\data\raw\limites_distritos.zip
